	CGM_0	CGM_1	CGM_2	CGM_3
b82f5de5-c3aa-4675-b2ce-46b2a773888b	3.0981260908100188	3.269601570148347	2.3960804523986865	2.5523142524710414
698cc2fb-8b17-4b82-938d-835f703fe850	3.316744910469968	1.714787782346105	1.6363862800495543	1.2638063756201479
f34ead46-31b4-462a-aa33-58be37aab6dd	3.9433528630331653	2.067203242630968	2.4434279572339084	3.482871101940449
a05117b2-0fd4-4f04-91b7-329a9862ce85	2.8859939484473385	3.3623572315588346	3.788549256422528	3.674906504890297
42e9c6af-e24d-4897-8178-d132055ec51e	3.47429422746653	2.491511312872061	3.8543275987547245	1.8936555182714774
359de6d5-cc11-4b8b-add4-7d3577d66e2c	3.9051077982954028	2.431681051135317	1.3091066725611524	1.3702026114094408
7d6ccd03-8e72-4213-92e6-e919ad2b3d6e	1.5516074946370382	1.9750314114813716	1.7914386506557614	1.7621884815306843
c7c6b31c-ef94-4dde-85ab-33d6c1eeee5c	4.048538523371022	3.311747837962172	2.3758046632637666	3.476276749589713
ff721df7-5306-47c6-a5ee-e771678decbd	3.853751960926777	2.1316793447282705	1.7899297916093204	1.56713027994932
df5f1b7c-8439-45d3-b73e-abdee5e06f7e	3.5333088388834315	2.5596005597595743	3.604478892714437	4.431122354726724
123dbb78-446c-4172-bc3e-a5fe1255a7d8	1.5833977062768263	1.5804610334664089	2.5461236085205234	2.3031657081586037
f61fb2f4-d12a-4452-8c20-9679dee50937	1.964842748361706	3.202982413821267	4.376288426124592	2.470517838795586
ac7d309a-ae43-4906-9be1-9c09d3de5427	2.3628324284525877	4.025190945747774	3.132145247059925	2.3112916101642678
5bd14c65-859a-4e3c-ba5b-225ecb2a8f56	3.9048454187456	1.5234298922018585	1.2125610017762143	1.2975380313519795
ff95132b-c85d-42e1-bd4f-70a1e1171d80	3.0626830661586233	1.8980007118522695	3.0997746502572467	4.506718698300658
8618d34e-2e2c-46b1-a36b-89d8968534ce	3.852067282266172	1.438277611944029	2.79799184148923	1.2314946566699914
9c3cc0a6-19cb-4f91-a24f-570a80328908	3.9121259094973975	1.7177603532852301	1.8328063870794609	1.558515774193165
b4ae8845-cb08-41d4-8a34-9ab77bebe819	1.8178239668301406	4.646264709612657	3.622194711246043	3.4821217239312126
212e820f-8d2f-47e4-af5a-b9d5d0f828ea	3.791513452541147	2.0543021646285116	1.5314736432757097	1.4080132034650146
