source	signature	M	K	n	k	p	overlap_genes	fdr	module
xCell	CD8+ Tem_NOVERSHTERN_1	1200	147	5	5	2.596893534234536e-05	CD8A|GZMB|GZMH|LAG3|PRF1	4.9832281332608665e-05	2
xCell	MPP_FANTOM_3	1200	147	6	5	0.00014038437013518917	CD53|HLA-DOA|PTPRC|SASH3|SPI1	0.0002431046409658154	2
xCell	Macrophages_FANTOM_2	1200	147	6	5	0.00014038437013518917	ADAMDEC1|CD163|CXCL9|LILRB4|VSIG4	0.0002431046409658154	2
xCell	aDC_HPCA_2	1200	147	6	5	0.00014038437013518917	C1QA|C1QB|CCL13|FPR3|HLA-DQA1	0.0002431046409658154	2
xCell	aDC_HPCA_3	1200	147	6	5	0.00014038437013518917	C1QA|C1QB|CCL13|FPR3|HLA-DQA1	0.0002431046409658154	2
xCell	Macrophages M1_FANTOM_1	1200	147	12	7	0.00016811430150680644	ADAMDEC1|CCL8|CYBB|FCER1G|LILRB4|MARCO|VSIG4	0.0002841932239757918	2
xCell	MPP_FANTOM_2	1200	147	9	6	0.0001883019843423294	CD52|HLA-DOA|NKG7|PTPRC|SASH3|SELPLG	0.0003109172299605904	2
xCell	aDC_IRIS_3	1200	147	5	4	0.0009820979184014245	C1QB|CCL8|CXCL9|HCK	0.0015495322712555807	2
xCell	Macrophages_IRIS_2	1200	147	5	4	0.0009820979184014245	ADAMDEC1|CYBB|LILRB4|VSIG4	0.0015495322712555807	2
xCell	MPP_FANTOM_1	1200	147	8	5	0.0010644739778756628	CD52|HLA-DOA|NKG7|PTPRC|SELPLG	0.0016080351580674908	2
xCell	Monocytes_HPCA_3	1200	147	8	5	0.0010644739778756628	CSF1R|FOLR2|GPR183|MS4A6A|PLEK	0.0016080351580674908	2
xCell	Hepatocytes_FANTOM_1	1200	147	34	8	0.04683692959406124	APOE|CD14|MT1G|SERPINA1|SERPING1|SPP1|TMEM176A|TMEM176B	0.06927962502454892	2
xCell	Hepatocytes_FANTOM_3	1200	147	30	7	0.0639427262292777	APOE|MT1G|SERPINA1|SERPING1|SPP1|TMEM176A|TMEM176B	0.09265170535262687	2
xCell	Hepatocytes_FANTOM_2	1200	147	34	7	0.11160384294900814	APOE|MT1G|SERPINA1|SERPING1|SPP1|TMEM176A|TMEM176B	0.15847745698759158	2
xCell	Memory B-cells_BLUEPRINT_1	1200	147	7	2	0.2075982303190224	CD79A|HLA-DPB1	0.28345142985866517	2
xCell	CMP_HPCA_1	1200	147	7	2	0.2075982303190224	C1QB|CCL18	0.28345142985866517	2
xCell	Hepatocytes_HPCA_2	1200	147	22	4	0.27898666989146353	APOE|MT1G|SERPINA1|SERPING1	0.37373685966592285	2
